City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
605,Salto,UY,77.0,broken clouds,-31.3833,-57.9667,Gran Hotel Uruguay
608,Qui Nhon,VN,70.12,light rain,13.7667,109.2333,Hoang Yen Canary Hotel
611,Douentza,ML,76.93,scattered clouds,14.9951,-2.9517,Ogomono Doumbo
612,Samarinda,ID,72.95,overcast clouds,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
613,Ginir,ET,60.84,broken clouds,7.1333,40.7,Sura Dare Village
616,Rabo De Peixe,PT,62.01,broken clouds,37.8,-25.5833,Quinta das Giestas
619,Bandarban,BD,56.55,clear sky,22.1965,92.2262,"Hilltop, Hafazgona, Bandarban"
621,Neuquen,AR,84.2,clear sky,-38.9516,-68.0591,Hotel del Comahue
622,Santa Maria,BR,85.77,overcast clouds,-29.6842,-53.8069,Hotel Morotin
624,Tapiramuta,BR,81.41,broken clouds,-11.8472,-40.7914,Casa Alencar
627,Xuddur,SO,80.89,broken clouds,4.1213,43.8894,Banjanay Hotel
631,Jacareacanga,BR,81.79,light rain,-6.2222,-57.7528,Casa do Ian😎
632,Marovoay,MG,84.2,few clouds,-16.1,46.6333,Hôtel les Oliviers Marovoay
634,San Martin,AR,78.8,clear sky,-33.081,-68.4681,Club El Pelícano
635,Carutapera,BR,86.41,scattered clouds,-1.195,-46.02,Lidera
636,Santa Rita Do Sapucai,BR,75.81,overcast clouds,-22.2522,-45.7033,Carlito's Hostel
637,Hadejia,NG,76.41,few clouds,12.4498,10.0444,Kasuwar Kuda Hadejia General Hospital Road
650,Port Shepstone,ZA,73.58,light rain,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
654,Gat,IL,55.99,light rain,31.61,34.7642,OlusHome
657,Puri,IN,68.0,mist,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
659,Nkoteng,CM,79.7,scattered clouds,4.5167,12.0333,Résidence OOCLO-Cannelle
662,Isiolo,KE,70.47,broken clouds,0.3546,37.5822,Gaddisa Hotel
664,Santa Maria Do Para,BR,84.76,light rain,-1.3503,-47.5756,Shopping Motel (Adults Only)
665,Atar,MR,75.11,overcast clouds,20.5169,-13.0499,Oumou Elghoura
668,Bontang,ID,76.14,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
671,Ixtapa,MX,71.6,few clouds,20.7,-105.2,Hotel Plaza Providencia
672,Mangan,IN,56.08,clear sky,27.5167,88.5333,Hotel Mout View
674,Gemena,CD,71.92,broken clouds,3.25,19.7667,Hôtel Goshen
